player_name,opponent_name,w_or_l,tourney_date,tourney_id,tourney_name,1in_sp,1w_sp,2w_sp,1w_rp,2w_rp,t_sp,t_rp,avg_1w_sp,avg_t_rp,avg_t_sp,avg_t_sp_365,1w_sp_comp,t_sp_comp,t_rp_comp
Novak Djokovic,Roger Federer,0,2011-05-22,2011-520,Roland Garros,0.6667,0.5982,0.6296,0.2308,0.4792,0.6012,0.1773,0.79458,0.20348,0.7662,0.6828659086363632,-0.19638,-0.16500000000000004,-0.02617999999999998
Novak Djokovic,Roger Federer,1,2011-08-29,2011-560,US Open,0.5857,0.8293,0.6154,0.3267,0.4068,0.7143,0.1707,0.73977143,0.25764286,0.67737143,0.6877407225287352,0.08952857000000003,0.03692857000000005,-0.08694285999999998
Novak Djokovic,Roger Federer,1,2012-05-13,2012-416,Rome Masters,0.5758,0.8158,0.5926,0.2188,0.5152,0.7121,0.2615,0.72854,0.18932,0.66058,0.6796216908450701,0.08726,0.05152000000000001,0.07218000000000002
Novak Djokovic,Roger Federer,1,2012-05-27,2012-520,Roland Garros,0.6813,0.7258,0.5185,0.4375,0.5143,0.6484,0.2442,0.71705714,0.20621429,0.67368571,0.6727758690540541,0.008742860000000019,-0.025285710000000017,0.037985710000000006
Novak Djokovic,Roger Federer,0,2012-06-25,2012-540,Wimbledon,0.6348,0.7123,0.6,0.2462,0.2778,0.6609,0.099,0.78035,0.19613333,0.71766667,0.6680763285507246,-0.06804999999999994,-0.05676666999999991,-0.09713332999999999
Novak Djokovic,Roger Federer,0,2012-08-12,2012-422,Cincinnati Masters,0.5738,0.6571,0.619,0.1818,0.3182,0.5902,0.1429,0.7728,0.24652,0.69326,0.6792095240476193,-0.11570000000000003,-0.10306000000000004,-0.10361999999999999
Novak Djokovic,Roger Federer,1,2012-11-05,2012-605,Tour Finals,0.6939,0.6324,0.5,0.386,0.4412,0.5816,0.1828,0.77434,0.19988,0.68508,0.6894893185227277,-0.14194000000000007,-0.10348000000000002,-0.017080000000000012
Novak Djokovic,Roger Federer,1,2013-10-28,2013-352,Paris Masters,0.6522,0.7167,0.6296,0.322,0.5385,0.6522,0.2022,0.78064,0.18168,0.72346,0.7111624009333329,-0.06394,-0.07125999999999999,0.020519999999999983
Novak Djokovic,Roger Federer,1,2013-11-04,2013-605,Tour Finals,0.5644,0.7018,0.5476,0.3393,0.4524,0.6238,0.233,0.72242,0.19962,0.693,0.7111592601234563,-0.02061999999999997,-0.06919999999999993,0.03338000000000002
Novak Djokovic,Roger Federer,0,2014-02-24,2014-495,Dubai,0.6163,0.6792,0.6129,0.2391,0.4194,0.6395,0.1688,0.72373333,0.1868,0.66236667,0.7100822231999995,-0.04453332999999993,-0.02286667000000009,-0.017999999999999988
